unix_time_s,voltage_a0,voltage_a3
1776087244.618608,1.132600,0.995800
1776087244.623606,1.638000,1.006200
1776087244.628613,1.779300,1.018700
1776087244.633616,1.357200,1.012600
1776087244.639026,1.144500,1.000700
1776087244.646024,1.646500,1.009000
1776087244.648786,1.791500,1.020300
1776087244.653661,1.365100,1.013600
1776087244.658615,1.155800,1.001600
1776087244.663614,1.657500,1.009600
1776087244.668615,1.804900,1.021200
1776087244.673618,1.380400,1.013900
1776087244.678616,1.169200,1.002300
1776087244.683611,1.669400,1.009900
1776087244.688896,1.816800,1.021800
1776087244.695743,1.385900,1.014800
1776087244.698878,1.172300,1.002000
1776087244.703599,1.670300,1.010500
1776087244.708613,1.813500,1.021500
1776087244.713665,1.386500,1.014500
1776087244.718601,1.180200,1.002000
1776087244.723610,1.678900,1.009900
1776087244.728609,1.833000,1.020900
1776087244.733610,1.402100,1.014500
1776087244.738905,1.198200,1.002600
1776087244.745705,1.694100,1.010200
1776087244.748666,1.848600,1.022100
1776087244.753612,1.413700,1.014500
1776087244.758617,1.204300,1.002600
1776087244.763610,1.698700,1.010500
1776087244.768609,1.849200,1.022100
1776087244.773643,1.414300,1.014500
1776087244.778616,1.200900,1.002600
1776087244.783610,1.694100,1.010500
1776087244.792251,1.838800,1.021500
1776087244.795990,1.405400,1.014800
1776087244.798783,1.188400,1.002600
1776087244.803612,1.683800,1.010500
1776087244.808664,1.830900,1.021500
1776087244.813611,1.397800,1.014800
1776087244.818619,1.183500,1.002300
1776087244.823613,1.678900,1.009900
1776087244.828614,1.821700,1.021800
1776087244.833631,1.391400,1.014200
1776087244.842337,1.175000,1.002300
1776087244.845863,1.670000,1.010500
1776087244.849230,1.815600,1.021500
1776087244.853620,1.383800,1.013900
1776087244.858611,1.168900,1.002600
1776087244.863607,1.668200,1.010200
1776087244.868608,1.816200,1.021500
1776087244.873624,1.386500,1.013900
1776087244.878617,1.172900,1.002300
1776087244.883601,1.670600,1.010200
1776087244.888895,1.814100,1.020900
1776087244.895839,1.385300,1.014500
1776087244.898645,1.166100,1.001600
1776087244.903616,1.662700,1.009600
1776087244.908604,1.802500,1.020600
1776087244.913614,1.373400,1.013900
1776087244.918610,1.154200,1.002000
1776087244.923635,1.652900,1.009900
1776087244.928618,1.793900,1.020300
1776087244.936591,1.366700,1.013600
1776087244.942218,1.150600,1.001300
1776087244.945750,1.651100,1.009900
1776087244.948927,1.792700,1.020600
1776087244.953629,1.367900,1.013900
1776087244.958621,1.150000,1.001600
1776087244.963614,1.649900,1.009300
1776087244.968606,1.790600,1.020600
1776087244.973616,1.365700,1.013900
1776087244.978620,1.148400,1.001300
1776087244.983616,1.649000,1.009000
