unix_time_s,voltage_a0,voltage_a3
1775750042.971698,0.740400,0.933000
1775750042.976688,1.007100,0.946100
1775750042.981683,1.824800,0.988800
1775750042.990481,2.561800,1.025100
1775750042.993757,3.105700,1.058100
1775750042.996758,3.476800,1.093500
1775750043.001684,3.714800,1.127700
1775750043.006690,3.877200,1.147800
1775750043.011710,3.978500,1.162500
1775750043.016692,4.033400,1.175000
1775750043.021702,4.060900,1.183500
1775750043.026682,4.064000,1.186000
1775750043.031694,4.051800,1.185700
1775750043.038236,4.029200,1.188400
1775750043.043498,4.000800,1.190300
1775750043.046768,3.965100,1.189300
1775750043.051693,3.928200,1.183200
1775750043.056693,3.887000,1.181400
1775750043.061685,3.846400,1.180500
1775750043.066687,3.802700,1.177100
1775750043.071684,3.760600,1.173800
1775750043.076684,3.718200,1.174100
1775750043.081685,3.675800,1.168000
1775750043.090063,3.630600,1.159100
1775750043.093361,3.594000,1.152100
1775750043.096695,3.558600,1.150600
1775750043.101690,3.522200,1.150600
1775750043.106688,3.487500,1.147800
1775750043.111685,3.452400,1.141700
1775750043.116683,3.414800,1.139600
1775750043.121688,3.376700,1.138700
1775750043.126688,3.337600,1.135900
1775750043.131699,3.298500,1.132600
1775750043.138632,3.259800,1.132600
1775750043.142947,3.225300,1.134100
1775750043.146725,3.186200,1.124900
1775750043.151691,3.148700,1.115500
1775750043.156703,3.113000,1.112700
1775750043.161688,3.078200,1.111800
1775750043.166691,3.040300,1.108500
1775750043.171683,3.006500,1.105100
1775750043.176684,2.973200,1.105400
1775750043.181687,2.939600,1.103300
1775750043.189972,2.907000,1.098100
1775750043.193390,2.874600,1.093200
1775750043.196723,2.843500,1.093500
1775750043.201705,2.811800,1.093500
1775750043.206697,2.783400,1.091100
1775750043.211697,2.752900,1.089200
1775750043.216708,2.722900,1.089500
1775750043.221697,2.694600,1.083700
1775750043.226708,2.665000,1.075500
1775750043.231694,2.633500,1.068500
1775750043.238705,2.604500,1.067600
1775750043.244631,2.578300,1.067000
1775750043.246932,2.550500,1.064200
1775750043.251686,2.520900,1.061500
1775750043.256688,2.203200,1.058100
1775750043.261682,1.848900,1.052600
1775750043.266684,2.104000,1.056900
1775750043.271691,1.962400,1.051400
1775750043.276684,1.676400,1.038600
1775750043.281692,1.423100,1.025100
